FechaAnalisis,NombreCooperativa,Ingresos,InteresesDescuentosGanados,InteresesCausados,MARGEN_NETO_DE_INTERESES,ComisionesGanadas,IngresosServicios,ComisionesCausadas,UtilidadesFinancieras,PerdidasFinancieras,MARGEN_BRUTO_FINANCIERO,Provisiones,MARGEN_NETO_FINANCIERO,GastosOperacion,MARGEN_DE_INTERMEDIACION,OtrosIngresosOperacionales,OtrasPerdidasOperacionales,MARGEN_OPERACIONAL,OtrosIngresos,OtrosGastosPerdidas,GANANCIA_ANTES_DE_IMPUESTOS,ImpuestosparticipacionEmpleados,GANANCIA_O_PERDIDA_DEL_EJERCICIO,Liquidez,ROE,MoraSectorFinanciero,AreaCobertura,TOTAL_CARTERA_IMPRODUCTIVA30,TOTAL_CARTERA_BRUTA30,PROVISIONES30,TOTAL_CARTERA_NETA30,TOTAL_CARTERA_POR_VENCER30,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES30,TOTAL_CARTERA_VENCIDA30,TOTAL_CARTERA_IMPRODUCTIVA60,TOTAL_CARTERA_BRUTA60,PROVISIONES60,TOTAL_CARTERA_NETA60,TOTAL_CARTERA_POR_VENCER60,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES60,TOTAL_CARTERA_VENCIDA60,TOTAL_CARTERA_IMPRODUCTIVA90,TOTAL_CARTERA_BRUTA90,PROVISIONES90,TOTAL_CARTERA_NETA90,TOTAL_CARTERA_POR_VENCER90,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES90,TOTAL_CARTERA_VENCIDA90,Ypredecido,Score
2020-03-31,15 DE ABRIL,3378333.27,2490857.38,808036.7,1682820.68,8.88,48551.51,13829.94,5706.93,53596.08,1669661.98,578854.52,1090807.46,1344885.34,-254077.88,0.0,23653.8,-277731.68,833208.57,128210.05,427266.84,154884.23,272382.61,24.0,7.0,8.0,145.17,5637904.54,71007836.76,-6487642.72,64520194.04,65369932.22,3144294.15,2492932.05,5898968.74,70928310.57,-6477132.65,64451177.92,65029341.83,3444143.52,2454437.23,5988343.54,70313792.66,-6609957.74,63703834.92,64325449.12,3475820.31,2511867.2,0.8947765,105.22348
2020-03-31,23 DE JULIO,7852668.47,7142797.82,3069333.78,4073464.04,16734.02,173042.68,0.0,4125.79,0.0,4267366.53,1313633.84,2953732.69,2512118.1,441614.59,0.0,0.0,441614.59,515968.16,20958.2,936624.55,455069.37,481555.18,24.0,5.0,7.0,94.5,7922103.73,168693996.47,-11284680.3,157409316.17,160792151.82,5798612.91,2123490.82,7223035.09,166791793.09,-11052884.95,155738908.14,159589501.57,5157705.25,2065329.84,7259817.74,168092855.77,-10138783.5,157954072.27,160854602.93,5203859.77,2055957.97,0.8323229,167.67711
2020-03-31,23 DE JULIO,7852668.47,7142797.82,3069333.78,4073464.04,16734.02,173042.68,0.0,4125.79,0.0,4267366.53,1313633.84,2953732.69,2512118.1,441614.59,0.0,0.0,441614.59,515968.16,20958.2,936624.55,455069.37,481555.18,24.0,5.0,7.0,94.5,7922103.73,168693996.47,-11284680.3,157409316.17,160792151.82,5798612.91,2123490.82,7223035.09,166791793.09,-11052884.95,155738908.14,159589501.57,5157705.25,2065329.84,7259817.74,168092855.77,-10138783.5,157954072.27,160854602.93,5203859.77,2055957.97,0.8323229,167.67711
2020-03-31,23 DE JULIO,7852668.47,7142797.82,3069333.78,4073464.04,16734.02,173042.68,0.0,4125.79,0.0,4267366.53,1313633.84,2953732.69,2512118.1,441614.59,0.0,0.0,441614.59,515968.16,20958.2,936624.55,455069.37,481555.18,24.0,5.0,7.0,94.5,7922103.73,168693996.47,-11284680.3,157409316.17,160792151.82,5798612.91,2123490.82,7223035.09,166791793.09,-11052884.95,155738908.14,159589501.57,5157705.25,2065329.84,7259817.74,168092855.77,-10138783.5,157954072.27,160854602.93,5203859.77,2055957.97,0.8323229,167.67711
2020-03-31,23 DE JULIO,7852668.47,7142797.82,3069333.78,4073464.04,16734.02,173042.68,0.0,4125.79,0.0,4267366.53,1313633.84,2953732.69,2512118.1,441614.59,0.0,0.0,441614.59,515968.16,20958.2,936624.55,455069.37,481555.18,24.0,5.0,7.0,94.5,7922103.73,168693996.47,-11284680.3,157409316.17,160792151.82,5798612.91,2123490.82,7223035.09,166791793.09,-11052884.95,155738908.14,159589501.57,5157705.25,2065329.84,7259817.74,168092855.77,-10138783.5,157954072.27,160854602.93,5203859.77,2055957.97,0.8323229,167.67711
2020-03-31,29 DE OCTUBRE,19257449.57,16375817.9,7577808.61,8798009.29,34.61,428040.36,152343.9,167649.01,366572.59,8874816.78,4105746.31,4769070.47,5449597.5,-680527.03,594849.54,0.0,-85677.49,1691058.15,454303.33,1151077.33,417265.54,733811.79,29.0,4.0,8.0,100.0,23942331.77,402588909.06,-25334738.71,377254170.35,378646577.29,16717445.62,7224325.4,23582571.41,400876248.66,-24471767.11,376404481.55,377293677.25,16592876.39,6989131.67,23560926.63,399935418.85,-21355748.3,378579670.55,376374492.22,16880700.64,6679680.12,0.7386544,261.3456
2020-03-31,ALIANZA DEL VALLE,15620461.38,14234098.47,5427936.07,8806162.4,0.0,394149.42,20985.08,25756.39,0.0,9205083.13,2504128.53,6700954.6,3502738.28,3198216.32,13.29,0.0,3198229.61,966443.81,356387.66,3808285.76,1379980.62,2428305.14,22.0,15.0,5.0,100.0,13622160.44,327117382.93,-17517961.16,309599421.77,313495222.49,10298142.1,3324018.34,11365433.48,322890881.35,-16830895.9,306059985.45,311525447.87,8402824.4,2962609.08,16973998.72,322737139.01,-17664039.56,305073099.45,305763140.29,13841986.51,3132012.21,0.6055505,394.44946
2020-03-31,AMBATO,5699165.95,5350280.61,2328792.63,3021487.98,0.0,111714.64,3002.56,9835.7,0.0,3140035.76,679649.55,2460386.21,1840305.54,620080.67,0.0,0.0,620080.67,227335.0,36975.84,810439.83,293784.43,516655.4,24.0,10.0,4.0,109.75,3191296.3,118942791.88,-4658899.33,114283892.55,115751495.58,2153122.23,1038174.07,3208934.61,117444146.17,-4479927.15,112964219.02,114235211.56,2218192.04,990742.57,3181708.08,116445473.99,-4381531.16,112063942.83,113263765.91,2187667.77,994040.31,0.48876095,511.23904
2020-03-31,ANDALUCIA,9847155.39,8995937.74,4053967.28,4941970.46,0.0,195384.4,0.0,19169.71,211290.0,4945234.57,1545190.84,3400043.73,3301439.38,98604.35,0.0,0.0,98604.35,636663.54,167842.96,567424.93,205691.53,361733.4,25.0,4.0,5.0,96.2,10053993.89,227054821.4,-10798202.09,216256619.31,216367634.41,7523883.31,2488117.42,9632106.54,226257401.33,-10184055.77,216073345.56,215971716.18,7282112.23,2305330.88,11409767.32,221395810.54,-11487251.23,209908559.31,209373678.05,8621209.81,2762926.37,0.8785285,121.47153
2020-03-31,ATUNTAQUI,6664303.79,6251082.56,2504623.68,3746458.88,34003.09,98302.99,2016.0,9325.73,42235.76,3843838.93,896834.66,2947004.27,2210238.24,736766.03,0.0,0.0,736766.03,271589.42,60918.43,947437.02,343445.89,603991.13,22.0,7.0,5.0,76.6,4859932.23,155884377.36,-5323003.71,150561373.65,150998271.97,1982512.8,2877419.43,4578292.5,155032451.43,-5189023.68,149843427.75,150431115.11,1663412.92,2911235.85,4732963.66,153780718.3,-5148179.39,148632538.91,149020437.05,2200313.13,2532650.53,0.6320713,367.92868
