FechaAnalisis,NombreCooperativa,SUFICIENCIA_PATRIMONIAL,PATRIMONIO_RESULTADOS_ACTIVOS_INMOVILIZADOS,ESTRUCTURA_CALIDAD_ACTIVOS,ACTIVOS_IMPRODUCTIVOS_NETOS_TOTAL_ACTIVOS,ACTIVOS_PRODUCTIVOS_TOTAL_ACTIVOS,ACTIVOS_PRODUCTIVOS_PASIVOS_CON_COSTO,INDICES_DE_MOROSIDAD,MOROSIDAD_CREDITO_COMERCIAL_PRIORITARIO,MOROSIDAD_CREDITO_CONSUMO_PRIORITARIO_,MOROSIDAD_CARTERA_CREDITO_INMOBILIARIO,MOROSIDAD_CARTERA_MICROCREDITO,MOROSIDAD_CARTERA_CREDITO_PRODUCTIVO,MOROSIDAD_CARTERA_CREDITO_COMERCIAL_ORDINARIO,MOROSIDAD_CARTERA_CONSUMO_ORDINARIO,MOROSIDAD_CARTERA_VIVIENDA_INTERES_PUBLICO,MOROSIDAD_CARTERA_CREDITO_EDUCATIVO,MOROSIDAD_CARTERA_TOTAL,COBERTURA_PROVISIONES_CARTERA_IMPRODUCTIVA,COBERTURA_CARTERA_CREDITOS_COMERCIAL_PRIORITARIO,COBERTURA_CARTERA_CREDITOS_CONSUMO_PRIORITARIO,COBERTURA_CARTERA_CREDITO_INMOBILIARIO,COBERTURA_CARTERA_MICROCREDITO,COBERTURA_CARTERA_CREDITO_PRODUCTIVO,COBERTURA_CARTERA_CREDITO_COMERCIAL_ORDINARIO,COBERTURA_CARTERA_CONSUMO_ORDINARIO,COBERTURA_CARTERA_VIVIENDA_INTERES_PUBLICO,COBERTURA_CARTERA_CREDITO_EDUCATIVO,COBERTURA_CARTERA_PROBLEMATICA,EFICIENCIA_MICROECONOMICA,GASTOS_OPERACION_ESTIMADOS_TOTAL_ACTIVO_PROMEDIO,GASTOS_OPERACION_MARGEN_FINANCIERO,GASTOS_PERSONAL_ESTIMADOS_ACTIVO_PROMEDIO,RENTABILIDAD,RESULTADOS_EJERCICIO_PATRIMONIO_PROMEDIO,RESULTADOS_EJERCICIO_ACTIVO_PROMEDIO,INTERMEDIACION_FINANCIERA,CARTERA_BRUTA_DEPOSITOS_ALA_VISTA_DEPOSITOS_A_PLAZO,EFICIENCIA_FINANCIERA,MARGEN_DE_INTERMEDIACION_ESTIMADO_PATRIMONIO_PROMEDIO,MARGEN_DE_INTERMEDIACION_ESTIMADO_ACTIVO_PROMEDIO,RENDIMIENTO_CARTERA,RENDIMIENTO_CARTERA_CREDITOS_COMERCIAL_PRIORITARIO_POR_VENCER,RENDIMIENTO_CARTERA_CREDITOS_CONSUMO_PRIORITARIO_POR_VENCER,RENDIMIENTO_CARTERA_CREDITO_INMOBILIARIO_POR_VENCER,RENDIMIENTO_CARTERA_MICROCREDITO_POR_VENCER,RENDIMIENTO_CARTERA_CREDITO_PRODUCTIVO_POR_VENCER,RENDIMIENTO_CARTERA_VIVIENDA_DE_INTERES_PUBLICO_POR_VENCER,RENDIMIENTO_CARTERA_CREDITO_EDUCATIVO_POR_VENCER,CARTERAS_CREDITOS_REFINANCIADAS,CARTERAS_CREDITOS_REESTRUCTURADAS,CARTERA_POR_VENCER_TOTAL,LIQUIDEZ,FONDOS_DISPONIBLES_TOTAL_DEPOSITOS_A_CORTO_PLAZO,SOLVENCIA,SOLVENCIA_PATRIMONIAL,VULNERABILIDAD_PATRIMONIO,CARTERA_IMPRODUCTIVA_DESCUBIERTA_PATRIMONIO_RESULTADOS,CARTERA_IMPRODUCTIVA_PATRIMONIO_DIC,PATRIMONIO_RESULTADOS_INGRESOS_EXTRAORDINARIOS_ACTIVOS_TOTALES,ACTIVOS_IMPRODUCTIVOS_ACTIVOS_TOTALES,INDICE_DE_CAPITALIZACION_NETO
2020-03-31,15 DE ABRIL LTDA,,1.84,,0.1,0.9,1.14,,0.3,0.04,0.14,0.09,0.0,0.0,0.01,0.0,0.0,0.08,,0.98,1.47,0.62,1.06,0.0,0.0,3.54,0.0,0.0,1.04,,0.06,1.23,0.03,,0.07,0.01,,1.04,,-0.06,-0.01,,0.06,0.14,0.1,0.16,0.0,0.0,0.0,0.12,0.12,0.15,,0.24,,0.22,,0.0,0.36,0.17,1.1,0.15
2020-03-31,23 DE JULIO LTDA,0.0,2.91,0.0,0.07,0.93,1.15,0.0,0.02,0.05,0.08,0.1,0.0,0.0,0.06,0.0,0.0,0.07,0.0,1.56,0.88,0.69,0.79,0.0,0.0,0.74,0.0,0.0,1.01,0.0,0.04,0.85,0.02,0.0,0.05,0.01,0.0,1.03,0.0,0.05,0.01,0.0,0.11,0.15,0.1,0.19,0.0,0.0,0.0,0.14,0.16,0.16,0.0,0.24,0.0,0.2,0.0,0.0,0.32,0.16,1.07,0.15
2020-03-31,29 DE OCTUBRE LTDA,0.0,2.01,0.0,0.08,0.92,1.09,0.0,0.0,0.04,0.02,0.17,0.0,0.29,0.19,0.0,0.0,0.08,0.0,734.84,1.08,0.68,0.84,0.0,0.11,0.63,0.0,0.0,0.82,0.0,0.04,1.14,0.02,0.0,0.04,0.01,0.0,0.85,0.0,-0.04,0.0,0.0,0.11,0.16,0.1,0.2,0.0,0.0,0.0,0.17,0.18,0.16,0.0,0.29,0.0,0.17,0.0,0.08,0.48,0.12,1.08,0.11
2020-03-31,ALIANZA DEL VALLE LTDA,0.0,19.93,0.0,0.01,0.99,1.22,0.0,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.77,7258.64,1.09,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.03,0.52,0.02,0.0,0.15,0.02,0.0,1.16,0.0,0.2,0.03,0.0,0.0,0.13,0.09,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.22,0.0,0.19,0.0,0.0,0.24,0.16,1.01,0.15
2020-03-31,AMBATO LTDA,0.0,3.99,0.0,0.05,0.95,1.14,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.21,0.0,0.0,0.04,0.0,0.0,1.59,0.0,1.08,0.0,0.0,0.6,0.0,0.0,1.12,0.0,0.05,0.75,0.03,0.0,0.1,0.01,0.0,1.04,0.0,0.12,0.02,0.0,0.11,0.15,0.11,0.19,0.0,0.0,0.0,0.0,0.21,0.17,0.0,0.24,0.0,0.16,0.0,0.0,0.23,0.14,1.05,0.13
2020-03-31,ANDALUCIA LTDA,0.0,4.53,0.0,0.03,0.97,1.18,0.0,0.0,0.04,0.02,0.09,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.0,1.07,0.81,1.06,0.0,0.0,0.83,0.0,0.0,1.04,0.0,0.05,0.97,0.02,0.0,0.04,0.0,0.0,0.99,0.0,0.01,0.0,0.0,0.0,0.15,0.1,0.15,0.0,0.0,0.0,0.13,0.15,0.15,0.0,0.25,0.0,0.17,0.0,0.0,0.28,0.13,1.03,0.13
2020-03-31,ATUNTAQUI LTDA,0.0,3.96,0.0,0.05,0.95,1.18,0.0,0.0,0.03,0.02,0.08,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.92,0.48,0.77,0.0,0.0,0.87,0.0,0.0,0.79,0.0,0.04,0.75,0.02,0.0,0.07,0.01,0.0,0.98,0.0,0.09,0.01,0.0,0.0,0.14,0.11,0.18,0.0,0.0,0.0,0.13,0.18,0.15,0.0,0.22,0.0,0.22,0.0,0.05,0.22,0.16,1.05,0.15
2020-03-31,CAMARA DE COMERCIO DE AMBATO LTDA,0.0,0.63,0.0,0.19,0.81,0.95,0.0,0.06,0.05,0.08,0.08,0.0,0.0,0.01,0.0,0.0,0.06,0.0,0.28,0.6,0.24,0.56,0.0,0.0,0.48,0.0,0.0,0.48,0.0,0.04,0.98,0.02,0.0,0.04,0.0,0.0,0.84,0.0,0.01,0.0,0.0,0.05,0.15,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.14,0.0,0.19,0.36,0.11,1.19,0.1
2020-03-31,CHIBULEO LTDA,0.0,3.67,0.0,0.04,0.96,1.13,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,1.33,0.0,1.12,0.0,0.0,2.02,0.0,0.0,1.17,0.0,0.05,0.84,0.02,0.0,0.08,0.01,0.0,1.08,0.0,0.08,0.01,0.0,0.0,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.27,0.0,0.14,0.0,0.0,0.25,0.12,1.04,0.11
2020-03-31,COOPROGRESO LTDA,0.0,2.56,0.0,0.04,0.96,1.09,0.0,0.07,0.05,0.02,0.06,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.99,1.16,0.81,1.36,5.97,0.0,2.28,0.0,0.0,1.28,0.0,0.04,0.96,0.02,0.0,0.06,0.01,0.0,0.82,0.0,0.02,0.0,0.0,0.09,0.15,0.11,0.19,0.11,0.0,0.0,0.18,0.17,0.16,0.0,0.29,0.0,0.14,0.0,0.0,0.26,0.1,1.04,0.1
